"project_id","grid_type","shrink_distance","shrink_type","nodes_in_shrunk_grids","nodes_in_border_buffer","area_of_shrunk_grids","area_of_border_buffer","nodes_per_area_shrunk_grids","nodes_per_area_border_buffer"
105,"MOCKUP","5","percentage",857,44,"43048497.92454593","2231739.508216247","1.9907779395743912e-05","1.9715562608455005e-05"
105,"MOCKUP","10","percentage",824,77,"40786607.143458486","4493630.28930369","2.0202710097992455e-05","1.7135366072123286e-05"
105,"MOCKUP","15","percentage",778,123,"38525187.642659925","6755049.790102251","2.0194580418824507e-05","1.8208600058022394e-05"
105,"ORIGINAL","5","percentage",849,52,"43018649.02340826","2261588.4093595073","1.9735626740347503e-05","2.2992689467632464e-05"
105,"ORIGINAL","10","percentage",795,106,"40756241.1031462","4523996.329621561","1.950621496197375e-05","2.3430611405661123e-05"
105,"ORIGINAL","15","percentage",741,160,"38485607.02827593","6794630.404491834","1.9253951209749053e-05","2.3548006363116714e-05"
185,"MOCKUP","5","percentage",158,9,"17610775.957004048","913170.4438068867","8.971779573242554e-06","9.855772338053553e-06"
185,"MOCKUP","10","percentage",145,22,"16686995.510738548","1836950.8900723867","8.689401270989043e-06","1.1976368077609887e-05"
185,"MOCKUP","15","percentage",153,14,"15759565.751506157","2764380.6493047774","9.708389330802319e-06","5.064425553521692e-06"
185,"ORIGINAL","5","percentage",161,6,"17598740.380412076","925206.0203973129","9.148382015976428e-06","6.485042107079469e-06"
185,"ORIGINAL","10","percentage",152,15,"16673199.098242372","1850747.3025670163","9.11642685392171e-06","8.104834181951668e-06"
185,"ORIGINAL","15","percentage",144,23,"15744292.528120713","2779653.8726886753","9.146171524875007e-06","8.274411510722663e-06"
210,"MOCKUP","5","percentage",551,27,"1465734875.5151129","75984453.00741243","3.7592064513465193e-07","3.553358474182356e-07"
210,"MOCKUP","10","percentage",508,70,"1388824872.1477213","152894456.37480402","3.657768594066243e-07","4.578321651401321e-07"
210,"MOCKUP","15","percentage",499,79,"1311838479.0178823","229880849.50464416","3.8038219489763717e-07","3.436562905097669e-07"
210,"ORIGINAL","5","percentage",503,75,"1464715989.9882624","77003338.53436041","3.434112848075283e-07","9.739837444389962e-07"
210,"ORIGINAL","10","percentage",477,101,"1387684751.4990108","154034577.02361202","3.4373801361204914e-07","6.556969347506805e-07"
210,"ORIGINAL","15","percentage",453,125,"1310373429.3932302","231345899.12939262","3.4570298041662987e-07","5.403164718735171e-07"
213,"MOCKUP","5","percentage",38,4,"1653915.0664504643","85594.39965244988","2.2975786828977484e-05","4.6732029387924005e-05"
213,"MOCKUP","10","percentage",36,6,"1567007.7696397617","172501.69646315253","2.2973721443816463e-05","3.4782266627051045e-05"
213,"MOCKUP","15","percentage",37,5,"1479779.5958020482","259729.87030086596","2.500372359840913e-05","1.9250770018127288e-05"
213,"ORIGINAL","5","percentage",40,2,"1652627.070407553","86882.39569548913","2.4203887686612583e-05","2.3019623066216145e-05"
213,"ORIGINAL","10","percentage",36,6,"1565713.1913196512","173796.27478339104","2.299271680125377e-05","3.452317955306021e-05"
213,"ORIGINAL","15","percentage",35,7,"1478483.2911697521","261026.1749332901","2.3672908722768566e-05","2.681723394900521e-05"
295,"MOCKUP","5","percentage",109,2,"10267622.075500617","532009.8695111498","1.0615895209084768e-05","3.7593287542536542e-06"
295,"MOCKUP","10","percentage",101,10,"9728390.106360605","1071241.8386513982","1.0381984983719382e-05","9.334960266851735e-06"
295,"MOCKUP","15","percentage",96,15,"9188432.57299792","1611199.3720141724","1.0447919080574803e-05","9.309834810355213e-06"
295,"ORIGINAL","5","percentage",105,6,"10260228.305416606","539403.6395940073","1.0233690408679125e-05","1.112339546784671e-05"
295,"ORIGINAL","10","percentage",100,11,"9720629.205673778","1079002.7393368352","1.028739990839601e-05","1.0194598770676615e-05"
295,"ORIGINAL","15","percentage",93,18,"9179068.112637835","1620563.832372779","1.0131747456144993e-05","1.110724529353772e-05"
297,"MOCKUP","5","percentage",322,13,"36501291.51990836","1891727.9730703086","8.821605663579774e-06","6.8720239828672436e-06"
297,"MOCKUP","10","percentage",293,42,"34584653.43036975","3808366.06260892","8.47196576914975e-06","1.1028351610514015e-05"
297,"MOCKUP","15","percentage",290,45,"32664107.60777978","5728911.885198891","8.87824652925553e-06","7.85489476915523e-06"
297,"ORIGINAL","5","percentage",319,16,"36475423.09890791","1917596.3940821514","8.745614797530642e-06","8.343778727044555e-06"
297,"ORIGINAL","10","percentage",301,34,"34557131.83599547","3835887.6569945887","8.710213608829416e-06","8.863658959876562e-06"
297,"ORIGINAL","15","percentage",283,52,"32631865.62484105","5761153.868149012","8.672504454804015e-06","9.025969656440883e-06"
298,"MOCKUP","5","percentage",69,4,"6494938.028525606","336486.0054421667","1.062365794668921e-05","1.1887567195383693e-05"
298,"MOCKUP","10","percentage",69,4,"6153569.28311316","677854.7508546123","1.1213004489825476e-05","5.900969189869893e-06"
298,"MOCKUP","15","percentage",61,12,"5812052.726433126","1019371.3075346462","1.0495431282406119e-05","1.1771961709440351e-05"
298,"ORIGINAL","5","percentage",67,6,"6490218.399867106","341205.63409911375","1.0323227335673618e-05","1.758470376915615e-05"
298,"ORIGINAL","10","percentage",63,10,"6148889.124639448","682534.9093267722","1.0245753130846074e-05","1.465126525156587e-05"
298,"ORIGINAL","15","percentage",58,15,"5806318.768480708","1025105.2654855121","9.989117427525666e-06","1.4632643597724255e-05"
305,"MOCKUP","5","percentage",714,32,"11158299.291187493","577828.7676677108","6.398824600124293e-05","5.537972802766733e-05"
305,"MOCKUP","10","percentage",670,76,"10571822.136768242","1164305.9220869616","6.337601894282493e-05","6.527494068206207e-05"
305,"MOCKUP","15","percentage",648,98,"9985013.462754106","1751114.5961010978","6.489725851819392e-05","5.5964355627095766e-05"
305,"ORIGINAL","5","percentage",706,40,"11149949.681309303","586178.3775405586","6.331867140023691e-05","6.823861393152861e-05"
305,"ORIGINAL","10","percentage",671,75,"10563558.892827464","1172569.1660223976","6.352025929969504e-05","6.396211172294071e-05"
305,"ORIGINAL","15","percentage",635,111,"9975035.97406601","1761092.084783852","6.365891828870891e-05","6.302907210761987e-05"
307,"MOCKUP","5","percentage",1117,48,"47679975358.57497","2458056921.422882","2.342702553010263e-08","1.9527619389796107e-08"
307,"MOCKUP","10","percentage",1044,121,"45167265848.06177","4970766431.936081","2.3114084512264107e-08","2.4342322588846986e-08"
307,"MOCKUP","15","percentage",987,178,"42652686190.92359","7485346089.074257","2.3140394853021745e-08","2.3779795600875683e-08"
307,"ORIGINAL","5","percentage",1035,130,"47633813677.05514","2504218602.963562","2.1728262343574475e-08","5.1912400876726326e-08"
307,"ORIGINAL","10","percentage",988,177,"45128687632.116325","5009344647.902374","2.189294774211158e-08","3.533396331077308e-08"
307,"ORIGINAL","15","percentage",930,235,"42614452892.781166","7523579387.237534","2.182358183360699e-08","3.1235132628312176e-08"
507,"MOCKUP","5","percentage",2670,131,"225707379.30778664","11679584.000577629","1.1829475882394812e-05","1.1216152903521327e-05"
507,"MOCKUP","10","percentage",2523,278,"213859940.54606995","23527022.762294322","1.1797440855719739e-05","1.1816199729510095e-05"
507,"MOCKUP","15","percentage",2412,389,"201961912.37236044","35425050.936003834","1.1942845914198696e-05","1.098092987086278e-05"
507,"ORIGINAL","5","percentage",2596,205,"225530327.35244158","11856635.95590368","1.1510647062304704e-05","1.7289895781773245e-05"
507,"ORIGINAL","10","percentage",2428,373,"213669395.20188904","23717568.10645622","1.136334942917709e-05","1.57267388598102e-05"
507,"ORIGINAL","15","percentage",2271,530,"201765336.69716057","35621626.61118469","1.1255649940547789e-05","1.487860186130825e-05"
613,"MOCKUP","5","percentage",261,9,"19192527.084813535","993885.4643317349","1.3599042942423219e-05","9.055369379057562e-06"
613,"MOCKUP","10","percentage",236,34,"18184040.964345813","2002371.5847994573","1.2978413349526367e-05","1.6979865404654745e-05"
613,"MOCKUP","15","percentage",223,47,"17173038.33508323","3013374.214062039","1.2985471507649737e-05","1.559713353246089e-05"
613,"ORIGINAL","5","percentage",262,8,"19178172.255843583","1008240.293300014","1.3661364414962363e-05","7.934616433365953e-06"
613,"ORIGINAL","10","percentage",244,26,"18169566.6139308","2016845.9352127984","1.3429048979788137e-05","1.2891416020459058e-05"
613,"ORIGINAL","15","percentage",225,45,"17157293.662266493","3029118.8868771046","1.311395634002789e-05","1.4855805163326925e-05"
643,"MOCKUP","5","percentage",175,5,"8654495.606098106","448004.853267001","2.0220704702500743e-05","1.1160593380938466e-05"
